X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y,OBJECTID_1,allcats,nameUrlFriendly,isCounty
-118.197252999698,33.768986000339,3368,211,3068927,Public Safety,Sheriff and Police Stations,,www.longbeach.gov/police/,City Of Long Beach Police Department,400 W. Broadway,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Graffiti Hotline Service/Intake (562) 570-2773, General Information Service/Intake and Administration (562) 570-7260, Permits/Licensing Service/Intake (562) 570-7219, Traffic Enforcement Service/Intake (562) 570-7209, Records Inquiries Service/Intake (562",,www.longbeach.gov/police/,,,3068927,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90802,www.longbeach.gov/police/,publish,33.768986,-118.197253,2020/07/14 23:14:07+00,,6501717.76964523,1738367.61331394,0,|Public Safety|Sheriff and Police Stations|,city-of-long-beach-police-department,0
-118.388431000423,33.8453079995813,3374,211,3068962,Municipal Services,Animals and Pets,"Public Safety, Sheriff and Police Stations",,City Of Redondo Beach Police Department,401 Diamond St.,,Redondo Beach,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Service/Intake (310) 379-5411, Direct Dispatch - Non Emergency Number (desk officer) Service/Intake (310) 379-2477 Ext.1-2351, Animal Control (310) 318-0611",,https://www.redondo.org/depts/police,,,3068962,The police department provides law enforcement services for residents of Redondo Beach.,90277,https://www.redondo.org/depts/police,publish,33.845308,-118.388431,2020/07/14 23:14:08+00,,6443719.1588296,1766312.32869683,0,|Municipal Services|Public Safety|Animals and Pets|Sheriff and Police Stations|,city-of-redondo-beach-police-department,0
-117.889005999888,34.0897789996412,3377,211,3068968,Public Safety,Sheriff and Police Stations,,www.ci.covina.ca.us/police,City Of Covina Police Department,444 N. Citrus Ave.,,Covina,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Service/Intake (626) 384-5808, Graffiti Hotline Service/Intake (626) 384-5599, Non-emergency Service/Intake (626) 384-5595,  Information Only (626) 331-3391",,www.ci.covina.ca.us/police,,,3068968,The department provides law enforcement services for the city of Covina.,91723,www.ci.covina.ca.us/police,publish,34.089779,-117.889006,2020/07/14 23:14:08+00,,6595276.68527532,1855071.26631477,0,|Public Safety|Sheriff and Police Stations|,city-of-covina-police-department,0
-118.391590699593,33.7997555196195,3379,211,3068974,Public Safety,Sheriff and Police Stations,,www.pvestates.org,City Of Palos Verdes Estates Police Department,340 Palos Verdes Dr W,,Palos Verdes Estates,CA,"Monday through Sunday, 24 hours per day. ","Community Relations Officer Service/Intake (310) 378-4211 Ext.2118, Direct Dispatch - Emergency Number Emergency (310) 378-5211, Direct Dispatch - Non Emergency Number Service/Intake (310) 378-4211,  TDD (310) 373-8018",,www.pvestates.org,,,3068974,The department provides law enforcement services for the city of Palos Verdes Estates.,90274,www.pvestates.org,publish,33.79975552,-118.3915907,2020/07/14 23:14:09+00,,6442695.10517939,1749738.42810477,0,|Public Safety|Sheriff and Police Stations|,city-of-palos-verdes-estates-police-department,0
-118.248868999494,34.1469269996632,3382,211,3068984,Public Safety,Sheriff and Police Stations,,police.ci.glendale.ca.us,City Of Glendale Police Department,131 N. Isabel St.,,Glendale,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (818) 548-4911, General Info Service/Intake and Administration (818) 548-4840, Records Service/Intake (818) 548-3135, Youth Services - Day Service/Intake (818) 548-4037, Traffic Accident ",,police.ci.glendale.ca.us,,,3068984,The department provides law enforcement services for the city of Glendale.,91206,police.ci.glendale.ca.us,publish,34.146927,-118.248869,2020/07/14 23:14:10+00,,6486370.29043675,1875943.14057381,0,|Public Safety|Sheriff and Police Stations|,city-of-glendale-police-department,0
-118.215631000155,33.7904850001296,3384,211,3068986,Public Safety,Sheriff and Police Stations,,www.longbeach.gov/police/,Long Beach Police Department - West Patrol Division,1835 Santa Fe Ave.,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake and Hotline (562) 570-3409, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,3068986,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90810,www.longbeach.gov/police/,publish,33.790485,-118.215631,2020/07/14 23:14:10+00,,6496148.79863875,1746203.1616951,0,|Public Safety|Sheriff and Police Stations|,long-beach-police-department---west-patrol-division,0
-118.137819999996,33.7928650002317,3385,211,3068987,Public Safety,Sheriff and Police Stations,,www.longbeach.gov/police/,Long Beach Police Department - East Patrol Division,4800 Los Coyotes Diagonal,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake (562) 570-5880, Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,3068987,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90815,www.longbeach.gov/police/,publish,33.792865,-118.13782,2020/07/14 23:14:10+00,,6519793.58758684,1747027.74071759,0,|Public Safety|Sheriff and Police Stations|,long-beach-police-department---east-patrol-division,0
-118.197252999698,33.768986000339,3386,211,3068988,Public Safety,Sheriff and Police Stations,,www.longbeach.gov/police/,Long Beach Police Department - South Patrol Division,400 W. Broadway,,Long Beach,CA,"Monday through Sunday, 24 hours per day. ","General Information Service/Intake (562) 570-7260, Direct Dispatch - Emergency and Non-Emergency number Service/Intake (562) 435-6711",,www.longbeach.gov/police/,,,3068988,"The agency provides community services, law enforcement and mental health services for people who live in the city of Long Beach.",90802,www.longbeach.gov/police/,publish,33.768986,-118.197253,2020/07/14 23:14:10+00,,6501717.76964523,1738367.61331394,0,|Public Safety|Sheriff and Police Stations|,long-beach-police-department---south-patrol-division,0
-118.285883000218,33.8521880002466,3393,211,3068997,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - South Los Angeles,19700 Hamilton Ave.,,Torrance,CA,,Service/Intake and Administration (310) 516-3355,,www.chp.ca.gov,,,3068997,The agency provides law enforcement for California highways.,90502,www.chp.ca.gov,publish,33.852188,-118.285883,2020/07/14 23:14:11+00,,6474865.96819198,1768711.67601853,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---south-los-angeles,0
-118.167457900353,34.7045939903494,3394,211,3068998,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - Antelope Valley,2041 W Ave I,,Lancaster,CA,,Service/Intake and Administration (661) 294-5540,,www.chp.ca.gov,,,3068998,The agency provides law enforcement for California highways.,93534,www.chp.ca.gov,publish,34.70459399,-118.1674579,2020/07/14 23:14:11+00,,6511340.83360222,2078839.16366455,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---antelope-valley,0
-118.589692999662,34.1764669997169,3395,211,3068999,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - West Valley,5825 De Soto Ave.,,Woodland Hills,CA,,Service/Intake and Administration (818) 888-0980,,www.chp.ca.gov,,,3068999,The agency provides law enforcement for California highways.,91367,www.chp.ca.gov,publish,34.176467,-118.589693,2020/07/14 23:14:11+00,,6383311.40802364,1887123.24385041,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---west-valley,0
-118.391828899879,33.9803757202716,3396,211,3069000,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - West Los Angeles,6300 Bristol Park,,Culver City,CA,,Service/Intake and Administration (310) 642-3939,,www.chp.ca.gov,,,3069000,The agency provides law enforcement for California highways.,90230,www.chp.ca.gov,publish,33.98037572,-118.3918289,2020/07/14 23:14:12+00,,6442878.96283731,1815470.21503844,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---west-los-angeles,0
-118.27552300018,34.036132000442,3397,211,3069001,Public Safety,Sheriff and Police Stations,,www.chp.ca.gov,California State Highway Patrol - Chp - Central Los Angeles,777 W. Washington Blvd.,,Los Angeles,CA,,Service/Intake and Administration (213) 744-2331,,www.chp.ca.gov,,,3069001,The agency provides law enforcement for California highways.,90015,www.chp.ca.gov,publish,34.036132,-118.275523,2020/07/14 23:14:12+00,,6478195.11604934,1835643.93348688,0,|Public Safety|Sheriff and Police Stations|,california-state-highway-patrol---chp---central-los-angeles,0
-118.308914400164,34.1828986300424,3771,Current Services Locator,3069384,Public Safety,Sheriff and Police Stations,,LA County,Burbank Police Department,200 N. Third St.,,Burbank,CA,"Monday through Friday, 8:00am to 4:30pm.","Business Calls Service/Intake (818) 238-3130,  Information Only (818) 238-3333, Vice/Narcotics Service/Intake (818) 238-3280, Jail Information Service/Intake (818) 238-3010, Traffic Bureau Service/Intake (818) 238-3100, Detective Bureau Service/Inta",,www.ci.burbank.ca.us/police,,,3069384,The Department Provides Law Enforcement Services For The City Of Burbank.,91502,www.ci.burbank.ca.us/police,publish,34.18289863,-118.3089144,2020/07/14 23:14:48+00,,6468242.69369225,1889084.21618721,0,|Public Safety|Sheriff and Police Stations|,burbank-police-department,0
-118.218923000146,33.9799629996128,6919,211,3174249,Public Safety,Sheriff and Police Stations,,,City Of Huntington Park Police Department,6542 Miles Ave.,,Huntington Park,CA,"Monday through Sunday, 24 hours per day. ","Watch Commander Administrative (323) 826-6614, Chief Administrative (323) 826-6629, Detective Division Service/Intake and Administration (323) 826-6656, Records Service/Intake and Administration (323) 826-6611, Jail Service/Intake and Administration (323), Animal Services (323) 826-6682",,https://hppolice.org/,,,3174249,The agency provides law enforcement services for the city of Huntington Park.,90255,https://hppolice.org/,publish,33.979963,-118.218923,2020/07/14 23:29:17+00,,6495298.67402422,1815160.76510944,0,|Public Safety|Sheriff and Police Stations|,city-of-huntington-park-police-department,0
-118.490387400231,34.0129445796107,7852,211,3175219,Municipal Services,Animals and Pets,"Public Safety, Sheriff and Police Stations",www.santamonicapd.org,City Of Santa Monica Police Department,333 Olympic Blvd,,Santa Monica,CA,"Monday through Sunday, 24 hours per day. ","Animal Control: (310) 458-8594, Parking Enforcement Service/Intake (310) 458-8466, General Information Service/Intake (310) 395-9931, Direct Dispatch - Emergency number Emergency (310) 458-8491, Community Relations Service/Intake (310) 458-8474",,https://www.santamonicapd.org,,,3175219,"The department provides domestic violence services, drug abuse services, law enforcement services and youth services for the City of Santa Monica.",90401,https://www.santamonicapd.org,publish,34.01294458,-118.4903874,2020/07/14 23:30:30+00,,6413056.86379675,1827453.67720385,0,|Municipal Services|Public Safety|Animals and Pets|Sheriff and Police Stations|,city-of-santa-monica-police-department,0
-118.000061000491,34.1479490000361,7853,211,3175220,Public Safety,Sheriff and Police Stations,,www.cityofmonrovia.org,City Of Monrovia Police Department,140 E. Lime Ave.,,Monrovia,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency Number Emergency (626) 256-8088,  FAX (626) 256-8025,  Service/Intake (626) 256-8000",,www.cityofmonrovia.org,,,3175220,The department provides drug abuse services for youth and law enforcement services for the city of Monrovia.,91016,www.cityofmonrovia.org,publish,34.147949,-118.000061,2020/07/14 23:30:30+00,,6561651.88755006,1876221.85149453,0,|Public Safety|Sheriff and Police Stations|,city-of-monrovia-police-department,0
-117.934012999643,34.1041949997862,8046,211,3175419,Public Safety,Sheriff and Police Stations,,www.ci.irwindale.ca.us/police_dept/,City Of Irwindale Police Department,5050 N. Irwindale Ave.,,Irwindale,CA,"Monday through Sunday, 24 hours per day. ","Direct Dispatch - Emergency and Non-Emergency Number Service/Intake (626) 430-2244,  Service/Intake (626) 962-3601,  FAX (626) 856-0471",,www.ci.irwindale.ca.us/police_dept/,,,3175419,The department provides law enforcement and substance abuse services for the city of Irwindale.,91706,www.ci.irwindale.ca.us/police_dept/,publish,34.104195,-117.934013,2020/07/14 23:30:45+00,,6581646.19572975,1860305.5208853,0,|Public Safety|Sheriff and Police Stations|,city-of-irwindale-police-department,0
-118.244030000127,34.0523409996469,8047,211,3175420,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,City Of Los Angeles Police Department - Headquarters,100 W. 1st St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Tip Line Service/Intake and Hotline (877) 529-3855, Terrorist Threats Service/Intake and Hotline (877) 284-7328, Burglar Alarms Service/Intake (213) 485-2102, Anti-Drug Hotline Hotline/Talkline/Warmline (213) 972-2565, Youth Programs Service/Intake (213) ",,www.lapdonline.org,,,3175420,The department provides law enforcement and youth services for the City of Los Angeles.,90012,www.lapdonline.org,publish,34.052341,-118.24403,2020/07/14 23:30:45+00,,6487750.85381215,1841518.03029581,0,|Public Safety|Sheriff and Police Stations|,city-of-los-angeles-police-department---headquarters,0
-118.256301999737,34.0125639997649,8048,211,3175421,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Newton Community Police Station,3400 S. Central Ave.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Service/Intake (323) 846-6548, Direct Dispatch - Emergency Number Emergency (213) 928-8206, DV/Major Assault Service/Intake (323) 846-6569,  Service/Intake (323) 846-6549,  Service/Intake (323) 846-6547,  Service/Intake (323) 846-6504, non-ER number   TDD",,www.lapdonline.org,,,3175421,The department provides law enforcement and youth services for the City of Los Angeles.,90011,www.lapdonline.org,publish,34.012564,-118.256302,2020/07/14 23:30:45+00,,6483996.62202929,1827051.69009138,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---newton-community-police-station,0
-118.420217999627,33.9915279997938,8049,211,3175422,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Pacific Community Police Station,12312 Culver Blvd.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273, DV/Major Assault Service/Intake (310) 482-6379, Youth Services Officer Service/Intake (310) 202-4525, Front Desk Service/Intake (310) 482-6335, Front Desk Service/Intake (310",,www.lapdonline.org,,,3175422,The department provides law enforcement and youth services for the City of Los Angeles.,90066,www.lapdonline.org,publish,33.991528,-118.420218,2020/07/14 23:30:46+00,,6434289.2099281,1819563.49213106,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---pacific-community-police-station,0
-118.269774000436,33.7714900000024,8050,211,3175423,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Harbor Community Police Station,221 Bayview Ave.,,Wilmington,CA,"Monday through Sunday, 24 hours per day. ","TDD (310) 548-2571, DV/Major Assault Service/Intake (310) 548-7621,  Service/Intake (310) 726-7700, Toll Free Citywide LAPD Non-Emergency Number Service/Intake (877) 275-5273, Harbor Area Community Relations/Youth Services Officer Service/Intake (310) 548",,www.lapdonline.org,,,3175423,The department provides law enforcement and youth services for the City of Los Angeles.,90744,www.lapdonline.org,publish,33.77149,-118.269774,2020/07/14 23:30:46+00,,6479678.41040525,1739330.0924821,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---harbor-community-police-station,0
-118.385862999959,34.1719859996348,8051,211,3175424,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - North Hollywood Community Police Station,11640 Burbank Blvd.,,North Hollywood,CA,"Monday through Sunday, 24 hours per day. ","Youth Services Officer Service/Intake (818) 633-4001, DV/Major Assault Service/Intake (818) 623-4065, Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273, Direct Dispatch - Emergency Number Emergency (213) 928-8206,  TDD (818) ",,www.lapdonline.org,,,3175424,The department provides law enforcement and youth services for the City of Los Angeles.,91601,www.lapdonline.org,publish,34.171986,-118.385863,2020/07/14 23:30:46+00,,6444955.32222671,1885193.36978673,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---north-hollywood-community-police-station,0
-118.305030000482,34.0106709996554,8052,211,3175425,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Southwest Community Police Station,1546 W. Martin Luther King Jr. Blvd.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","Detective Desk Service/Intake and Administration (213) 485-6571, DV/Major Assault Service/Intake (213) 485-2586, Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273,  Service/Intake (213) 847-5800, Direct Dispatch - Emergency N",,www.lapdonline.org,,,3175425,The department provides law enforcement and youth services for the City of Los Angeles.,90062,www.lapdonline.org,publish,34.010671,-118.30503,2020/07/14 23:30:46+00,,6469227.28598021,1826404.02508736,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---southwest-community-police-station,0
-118.531831000185,34.2564260002361,8053,211,3175426,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Devonshire Community Police Station,10250 Etiwanda Ave.,,Northridge,CA,"Monday through Sunday, 24 hours per day. ","Front Desk Service/Intake (818) 832-0633, DV/Major Assault Service/Intake (818) 756-2891, Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273, Direct Dispatch - Emergency Number Emergency (213) 928-8206,  TDD (818) 756-9033, Yo",,www.lapdonline.org,,,3175426,The department provides law enforcement and youth services for the City of Los Angeles.,91325,www.lapdonline.org,publish,34.256426,-118.531831,2020/07/14 23:30:46+00,,6400966.17175543,1916123.72995082,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---devonshire-community-police-station,0
-118.249327000205,34.1185969997243,8054,211,3175427,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Northeast Community Police Station,3353 San Fernando Rd.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","DV/Major Assault Service/Intake (323) 344-5749, Youth Services Officer/Community Relations Service/Intake (323) 344-5712, Direct Dispatch - Emergency Number Emergency (213) 928-8206, Front Desk Service/Intake (323) 344-5701, Non-emergency Police Response ",,www.lapdonline.org,,,3175427,The department provides law enforcement and youth services for the City of Los Angeles.,90065,www.lapdonline.org,publish,34.118597,-118.249327,2020/07/14 23:30:46+00,,6486206.14170211,1865633.7074298,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---northeast-community-police-station,0
-118.342689999979,34.0465709999213,8055,211,3175428,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Wilshire Community Police Station,4861 W. Venice Blvd.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","DV/Major Assault Service/Intake (213) 847-3994, Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273, Direct Dispatch - Emergency Number Emergency (213) 928-8206,  Service/Intake (213) 485-4022,  TDD (213) 485-2112, Youth Servic",,www.lapdonline.org,,,3175428,The department provides law enforcement and youth services for the City of Los Angeles.,90019,www.lapdonline.org,publish,34.046571,-118.34269,2020/07/14 23:30:46+00,,6457858.54609786,1839505.4459666,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---wilshire-community-police-station,0
-118.275445000245,33.9384380003856,8056,211,3175429,Public Safety,Sheriff and Police Stations,,www.lapdonline.org,Los Angeles Police Department - Southeast Community Police Station,145 W. 108th St.,,Los Angeles,CA,"Monday through Sunday, 24 hours per day. ","DV/Major Assault Service/Intake (213) 485-6902, Non-emergency Police Response (ASK LAPD) Dispatch Service/Intake (877) 275-5273, Direct Dispatch - Emergency Number Emergency (213) 928-8206,  TDD (213) 485-9934,  Service/Intake (213) 972-7828, Youth Servic",,www.lapdonline.org,,,3175429,The department provides law enforcement and youth services for the City of Los Angeles.,90061,www.lapdonline.org,publish,33.938438,-118.275445,2020/07/14 23:30:46+00,,6478121.32455013,1800091.11780211,0,|Public Safety|Sheriff and Police Stations|,los-angeles-police-department---southeast-community-police-station,0
