,LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,Latitude,Longitude
2470,0002868966-0001-1,GLOWING JUICES LLC,,1557 ECHO PARK AVENUE,LOS ANGELES,90026-2670,1557 ECHO PARK 90026-2670,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,01/01/2016,,"(34.0812, -118.2545)",34.0812,-118.2545
2608,0002841490-0001-0,VILMA NOEMI BARRIENTOS,,15149 VICTORY BLVD #3,VAN NUYS,91411-1736,15149 VICTORY 91411-1736,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,07/15/2015,,"(34.1866, -118.4628)",34.1866,-118.4628
3371,0003143531-0001-1,JOSEPH HORACE GREEN,,622   WALL STREET   BUILDING #C,LOS ANGELES,90014-2314,622 WALL 90014-2314,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,08/15/2019,,"(34.0424, -118.2475)",34.0424,-118.2475
3481,0003307128-0004-6,HG LAX MSC RETAILERS JV,PIER PROVISIONS,380 WORLD WAY SUITE #M222149,LOS ANGELES,90045-5800,380 World 90045-5800,1 MEADOWLANDS PLAZA SUITE #902,EAST RUTHERFORD,07073-2100,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,04/01/2022,,"(33.9435, -118.4085)",33.9435,-118.4085
3873,0002801188-0001-2,MEALS BY GENET INC,,1053 S FAIRFAX AVENUE,LOS ANGELES,90019-4402,1053 FAIRFAX 90019-4402,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,01/27/2015,,"(34.0569, -118.3644)",34.0569,-118.3644
4186,0003321830-0001-5,MEXILINK INCORPORATED,,100 N CITRUS STREET SUITE #405,WEST COVINA,91791-1683,100 Citrus 91791-1683,200 WESTLAKE PARK BLVD SUITE #900,HOUSTON,77079-2681,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,01/01/2015,,"(34.0731, -117.8894)",34.0731,-117.8894
4535,0003067694-0001-1,VENICE CBD LLC,,333   WASHINGTON BLVD   SUITE #505,MARINA DEL REY,90292-5152,333 WASHINGTON 90292,2536 LINCOLN BLVD,VENICE,90291-5043,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,08/01/2018,,"(33.9808, -118.4642)",33.9808,-118.4642
4837,0003205598-0002-8,C.N.R. PARTNERS INC.,QUICKLY,14851 VICTORY BLVD UNIT #J,VAN NUYS,91411-1558,14851 VICTORY 91411-1558,19341 RUNNYMEDE STREET,RESEDA,91335-2451,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,05/13/2019,,"(34.187, -118.4571)",34.187,-118.4571
4999,0000202580-0005-7,FARMER BROS CO,,9373 REMICK AVENUE,ARLETA,91331-4222,9373 REMICK 91331-4222,1912 FARMER BROTHERS DRIVE,ROANOKE,76262-1857,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,09/30/1985,,"(34.2397, -118.4139)",34.2397,-118.4139
5245,0003143608-0001-1,AHPRE NATURALS INC,,1132 S HIGHLAND AVENUE,LOS ANGELES,90019-1750,1132 HIGHLAND 90019-1750,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,08/16/2019,,"(34.0548, -118.3405)",34.0548,-118.3405
5545,0002830309-0001-6,EILEEN LOPEZ,,13142   HUMMINGBIRD LANE,SYLMAR,91342-4489,13142 HUMMINGBIRD 91342-4489,13142   HUMMINGBIRD LANE,SYLMAR,91342-4489,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,05/21/2014,,"(34.3094, -118.4252)",34.3094,-118.4252
5621,0003323171-0001-1,JT AND J INVESTMENT LLC,IT'S BOBA TIME WEST HILLS,11447 FERNSIDE LANE,PORTER RANCH,91326-4197,11447 Fernside 91326-4197,22904 VANOWEN STREET,WEST HILLS,91307-2540,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,06/23/2022,,"(34.2788, -118.568)",34.2788,-118.568
6629,0002862304-0001-7,VEGAN INT'L,HEALTHY TIMES,13303 SATICOY STREET,NORTH HOLLYWOOD,91605-3407,13303 SATICOY 91605-3407,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,04/01/2015,,"(34.2083, -118.4229)",34.2083,-118.4229
6841,0003134766-0001-2,MARGARITO APARICIO OREGON,,1421   VALENCIA STREET   #103,LOS ANGELES,90015-3257,1421 VALENCIA 90015-3257,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,07/15/2019,,"(34.0416, -118.2766)",34.0416,-118.2766
7096,0003327289-0001-9,LITTLE MISS CAFE,,5671 W PICO BLVD,LOS ANGELES,90019-3837,5671 Pico 90019-3837,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,08/10/2022,,"(34.0508, -118.3616)",34.0508,-118.3616
7241,0003321211-0001-3,CROCKO COFFEE LLC,,3916 MELBOURNE AVENUE,LOS ANGELES,90027-4638,3916 Melbourne 90027-4638,21650 OXNARD STREET,WOODLAND HILLS,91367-4901,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,02/03/2022,,"(34.1033, -118.2782)",34.1033,-118.2782
7244,0003321981-0001-6,MONSTERA TEA HOUSE INC,MONSTERA TEA HOUSE,7222 FOOTHILL BLVD,TUJUNGA,91042-2741,7222 Foothill 91042-2741,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,06/30/2022,,"(34.2489, -118.2903)",34.2489,-118.2903
7949,0002986441-0001-3,BENGEES LLC,ROOTS & RYE,2134 W SUNSET BLVD   SUITE #D,LOS ANGELES,90026-1695,2134 SUNSET 90026-1695,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,05/15/2017,,"(34.0771, -118.2647)",34.0771,-118.2647
8268,0002777466-0001-3,ON THE RUN-WAY LLC,CAFE 50'S LAX,11599 GATEWAY BLVD,LOS ANGELES,90064-3009,11599 GATEWAY 90064-3009,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,08/07/2014,,"(34.0309, -118.4426)",34.0309,-118.4426
8328,0002934540-0001-1,CAFE SANTO INC,CAFE SANTO,221 S SPRUCE STREET,MONTEBELLO,90640-5136,221 SPRUCE 90640-5136,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,09/22/2016,,"(34.0078, -118.1109)",34.0078,-118.1109
8426,0003184742-0001-9,"VINA BEVERAGES, INC.",,4312 W JEFFERSON BLVD,LOS ANGELES,90016-4115,4312 JEFFERSON 90016,5701 W ADAMS BLVD,LOS ANGELES,90016-2401,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,02/19/2017,,"(34.0253, -118.3436)",34.0253,-118.3436
8520,0002694540-0006-3,CULINART OF CALIFORNIA INC,COMPASS GROUP NORTH AMERICA,11725 W SUNSET BLVD,LOS ANGELES,90049-2918,11725 SUNSET 90049-2918,2400   YORKMONT ROAD,CHARLOTTE,28217-4511,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,08/19/2019,,"(34.0651, -118.4716)",34.0651,-118.4716
9062,0002363980-0025-4,STARBUCKS CORPORATION,STARBUCKS COFFEE # 11603,1500   WESTWOOD BLVD,LOS ANGELES,90024-5602,1500 WESTWOOD 90024-5602,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,09/26/2019,,"(34.054, -118.4402)",34.054,-118.4402
9086,0003229615-0001-7,SANDRA GOMEZ / GEORGE GOMEZ,,14815 BURBANK BLVD APT #2,VAN NUYS,91411-3340,14815 Burbank 91411-3340,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",4,01/01/2016,,"(34.1724, -118.4559)",34.1724,-118.4559
9103,0002886150-0002-1,ROMERO OSWALDO RAMIREZ,LABOR DAY,8110 SEPULVEDA PLACE APT #19,PANORAMA CITY,91402-4335,8110 SEPULVEDA 91402-4335,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,04/13/2022,,"(34.2183, -118.4659)",34.2183,-118.4659
9347,0003099639-0001-6,CLAYTON DAILY,,3932   HAWLEY AVENUE,LOS ANGELES,90032-1418,3932 HAWLEY 90032,3932   HAWLEY AVENUE,LOS ANGELES,90032-1418,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/30/2019,,"(34.0926, -118.1904)",34.0926,-118.1904
9531,0003131822-0001-6,BASEM WISSA,NUMERO 1 ROLLED ICE CREAM,14650   PARTHENIA STREET,PANORAMA CITY,91402-2917,14650 PARTHENIA 91402-2917,7711   RESEDA BLVD   UNIT #17,RESEDA,91335-7480,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/10/2019,,"(34.227, -118.4523)",34.227,-118.4523
10103,0003132101-0001-4,ERICK ARMANDO CERON,ERICK CERON LOS RASPADOS,1133 S VERMONT AVENUE,LOS ANGELES,90006-2781,1133 VERMONT 90006-2781,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,06/01/2019,,"(34.0498, -118.292)",34.0498,-118.292
10884,0002832765-0001-7,ISB FOOD GROUP LLC,,816 S SANTA FE AVENUE,LOS ANGELES,90021-1725,816 SANTA FE 90021-1725,601 S FIGUEROA STREET SUITE #4450,LOS ANGELES,90017-5737,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,09/10/2014,,"(34.033, -118.2297)",34.033,-118.2297
11097,0002473766-0002-1,RUZBEHJON INC,MARY AND ROBB WESTWOOD CAFE,1453 WESTWOOD BLVD,LOS ANGELES,90024-4911,1453 Westwood 90024-4911,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,09/15/2020,,"(34.0541, -118.4411)",34.0541,-118.4411
11377,0003131831-0001-5,ELIZABETH LARA RAMIREZ,LA VILLA MARKET,5257   COMPTON AVENUE,LOS ANGELES,90011-4915,5257 COMPTON 90011-4915,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,04/10/2019,,"(33.995, -118.2481)",33.995,-118.2481
11400,0002840299-0001-7,JUANA MEYO DE XIQUE,,13770 FOOTHILL BLVD #6,SYLMAR,91342-3127,13770 FOOTHILL 91342-3127,8556 CRANFORD AVENUE,SUN VALLEY,91352-2908,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,01/01/2013,,"(34.3096, -118.4331)",34.3096,-118.4331
11600,0000008207-0042-2,STARBUCKS CORPORATION,STARBUCKS # 29377,534 S OCCIDENTAL BLVD,LOS ANGELES,90057-1502,534 OCCIDENTAL 90057-1502,POST OFFICE BOX #34442,SEATTLE,98124-1442,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,06/03/2016,,"(34.0638, -118.2842)",34.0638,-118.2842
11994,0003134750-0001-1,BEAUTIFUL FLOUR FOODS LLC,,9030   OWENSMOUTH AVENUE,CANOGA PARK,91304-1416,9030 OWENSMOUTH 91304-1416,24716   CALLE ALTAMIRA,CALABASAS,91302-3004,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,07/20/2019,,"(34.2346, -118.6013)",34.2346,-118.6013
12160,0003261328-0001-7,FARMER'S SON LLC,,2617   MANHATTAN BEACH BLVD,REDONDO BEACH,90278-1604,2617 MANHATTAN BEACH 90278,11145   SUNSHINE TERRACE   APT #3,STUDIO CITY,91604-3168,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,06/22/2021,,"(33.8875, -118.3642)",33.8875,-118.3642
12347,0003256310-0001-7,YAE! ORGANICS INC,,12655 W JEFFERSON BLVD,LOS ANGELES,90066-7008,12655 JEFFERSON 90066-7008,663   VAN SICLEN AVENUE,BROOKLYN,11207-7204,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,02/21/2019,,"(33.9792, -118.4157)",33.9792,-118.4157
12709,0003091108-0001-1,"HIS NATURAL, INC",,1458 S SAN PEDRO STREET,LOS ANGELES,90015-3144,1458 SAN PEDRO 90015-3144,60   AGAVE,LAKE FOREST,92630-8372,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,11/01/2018,,"(34.0305, -118.2544)",34.0305,-118.2544
13357,0002834397-0001-9,FADI KHAMASMEIH,QUALITYSTRUCT TRUCKING,6042 FAIR AVENUE,NORTH HOLLYWOOD,91606-4231,6042 FAIR 91606-4231,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,04/01/2013,,"(34.1801, -118.3746)",34.1801,-118.3746
13413,0003262246-0001-4,FIRST STEP HOSPITALITY INC,PIZZA PIE BROTHERS,19946 VENTURA BLVD,WOODLAND HILLS,91364-2629,19946 Ventura 91364-2629,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,01/01/2021,,"(34.1715, -118.5676)",34.1715,-118.5676
13554,0000817715-0003-0,HEE SUK YOU,,1300 N VERMONT AVENUE,LOS ANGELES,90027-6005,1300 VERMONT 90027-6005,1201   ELDEN AVENUE,LOS ANGELES,90006-3505,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,10/05/2015,,"(34.0967, -118.2917)",34.0967,-118.2917
13880,0003195357-0001-6,NANCY MONROY MEZA,,762 E SLAUSON AVENUE,LOS ANGELES,90011-5236,762 SLAUSON 90011-5236,3520 E 57TH STREET #A,MAYWOOD,90270-2580,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,03/13/2020,,"(33.9887, -118.2612)",33.9887,-118.2612
14046,0002976573-0001-5,JEFFREY SCOTT GREEN,CANARY BIRD WINDOW CLEANING | JEFF'S & MATTY'S COFFEE CART,1553   ARLINGTON AVENUE   #415,LOS ANGELES,90019-3665,1553 ARLINGTON 90019-3665,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,11/22/2019,,"(34.0439, -118.3178)",34.0439,-118.3178
14145,0003203482-0004-1,THE HUB FOOD MANAGEMENT INC,THE BETTER BAKING COMPANY,14528 BLYTHE STREET,PANORAMA CITY,91402-6006,14528 Blythe 91402-6006,15215 KESWICK STREET,VAN NUYS,91405-1014,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",6,01/01/2023,,"(34.2151, -118.4494)",34.2151,-118.4494
14373,0002724332-0016-1,BLUE BOTTLE COFFEE INC,,242 N AVENUE 25 UNIT #232,LOS ANGELES,90031-1984,242 Avenue 25 90031-1984,476 9TH STREET,OAKLAND,94607-4048,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1,07/14/2021,,"(34.0787, -118.2183)",34.0787,-118.2183
14556,0003145233-0003-7,VESSEL CA OPERATIONS LLC,NBRHD KITCHENS,1200 W OLYMPIC BLVD,LOS ANGELES,90015-3906,1200 OLYMPIC 90015-3906,233 PEACHTREE STREET NE SUITE #2600,ATLANTA,30303-1510,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,11/05/2019,,"(34.0407, -118.2572)",34.0407,-118.2572
14930,0003136447-0001-0,MINZHEN WU,PERFRECT 1 DOLLAR CHINESE FOOD,1713 E VERNON AVENUE   SUITE #106,LOS ANGELES,90058-1729,1713 VERNON 90058-1729,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,07/01/2019,,"(34.0042, -118.2423)",34.0042,-118.2423
15128,0003180641-0001-7,CHUBBY ORGANICS INC,,6130 AVALON BLVD,LOS ANGELES,90003-1633,6130 AVALON 90003-1633,4139 VIA MARINA    #803,MARINA DEL REY,90292-5365,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,01/13/2020,,"(33.9835, -118.2642)",33.9835,-118.2642
15499,0003323381-0001-1,SERGEI VOLKOV,,10435 LAS LUNITAS AVENUE,TUJUNGA,91042-1840,10435 Las Lunitas 91042-1840,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",7,07/13/2022,,"(34.2587, -118.2916)",34.2587,-118.2916
15527,0002934027-0001-4,BARBARA BETTKE,LA PASSEGGIATA FOODS,2506   SILVER LAKE BLVD,LOS ANGELES,90039-4027,2506 SILVER LAKE 90039-4027,466   FOOTHILL BLVD   #275,LA CANADA,91011-3518,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",13,12/01/2016,,"(34.1028, -118.2577)",34.1028,-118.2577
15533,0003027172-0001-9,LISA MALLALIEU,SOPHIA'S FINEST COOKIES,28614 EAGLETON STREET,AGOURA HILLS,91301-1750,28614 EAGLETON 91301-1750,14320   VENTURA BLVD   UNIT #173,SHERMAN OAKS,91423-2717,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,09/06/2017,,"(34.1638, -118.7502)",34.1638,-118.7502
15820,0002880692-0001-3,NIMNUAL S JURGENSEN,JURGENSEN'S FOODS OF THE WORLD,6351 YOLANDA AVENUE,TARZANA,91335-6847,6351 YOLANDA 91335-6847,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",3,01/02/2016,,"(34.186, -118.5407)",34.186,-118.5407
16971,0000382771-0016-6,BON APPETIT MANAGEMENT COMPANY,,111   UNIVERSAL HOLLYWOOD DRIVE,UNIVERSAL CITY,91608-1054,111 UNIVERSAL HOLLYWOOD 91608-1054,201   REDWOOD SHORES PARKWAYS    SUITE #100,REDWOOD CITY,94065-6111,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,05/27/2019,,"(34.1414, -118.3567)",34.1414,-118.3567
17173,0003208804-0001-5,OLIMPIA ELIZABETH TORRES AMEZQUITA,,17944 SCHOENBORN STREET APT #2,NORTHRIDGE,91325-3854,17944 Schoenborn 91325-3854,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,08/15/2020,,"(34.2216, -118.5247)",34.2216,-118.5247
17198,0003031099-0001-2,"BLACK FLOUR, LLC",BLACK FLOUR CREPES,2904 OAK AVENUE,MANHATTAN BEACH,90266-2716,2904 OAK 90266-2716,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,02/20/2018,,"(33.8969, -118.3967)",33.8969,-118.3967
17567,0003320606-0001-8,ANTON REPIN / ANASTASIIA REPINA,,8655 BELFORD AVENUE    #225,LOS ANGELES,90045-4559,8655 Belford 90045-4559,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",11,06/25/2022,,"(33.9582, -118.3848)",33.9582,-118.3848
18108,0003209648-0001-9,TG MINAJ LLC,TG MINAJ LLC,5654   CLEMSON STREET   APT,LOS ANGELES,90016-4625,5654 CLEMSON 90016,5654   CLEMSON STREET   APT,LOS ANGELES,90016-4625,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,08/01/2020,,"(34.0238, -118.3682)",34.0238,-118.3682
18470,0002984457-0001-0,PAULA PAXTOR,PAXTOR WELLNESS CLUB,4428 S BROADWAY,LOS ANGELES,90037-2726,4428 BROADWAY 90037-2726,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,05/01/2017,,"(34.0032, -118.2782)",34.0032,-118.2782
18612,0003145233-0002-9,VESSEL CA OPERATIONS LLC,REEF KITCHENS,1016 E 14TH PLACE,LOS ANGELES,90021-2601,1016 14th 90021-2601,233 PEACHTREE STREET NE SUITE #2600,ATLANTA,30303-1510,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,11/05/2019,,"(34.0287, -118.2504)",34.0287,-118.2504
18668,0003054754-0001-7,TORO FOODS INC,,621   GLADYS AVENUE,LOS ANGELES,90021-1003,621 GLADYS 90021-1003,13424   FRANCISQUITO AVENUE   UNIT #A,BALDWIN PARK,91706-8010,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,06/01/2018,,"(34.0398, -118.2429)",34.0398,-118.2429
19218,0002921886-0001-9,APOSHIAN INVESTMENT INC,JUICY MEATS CO,6131   COLDWATER CANYON AVENUE   UNIT #11 B,NORTH HOLLYWOOD,91606-4346,6131 COLDWATER CANYON 91606-4346,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",2,07/19/2016,,"(34.1822, -118.4141)",34.1822,-118.4141
19560,0003159803-0001-4,"MAYA'S FOODS, INC.",,6130   AVALON BLVD   ROOM #121,LOS ANGELES,90003-1633,6130 AVALON 90003,11909   KESSOCK AVENUE,WHITTIER,90604-3048,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",9,11/08/2019,,"(33.9835, -118.2642)",33.9835,-118.2642
19563,0003208335-0001-0,"BRIQUE, LLC",,1827 OVERLAND AVENUE,LOS ANGELES,90025-4711,1827 Overland 90025-4711,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",5,08/05/2020,,"(34.0504, -118.4324)",34.0504,-118.4324
19938,0002503980-0001-0,ICE WORLD I I I INC,BEN & JERRY'S,9301 TAMPA AVENUE UNIT #121,NORTHRIDGE,91324-5699,9301 TAMPA 91324-5699,19754 YOSEMITE CIRCLE,NORTHRIDGE,91326-4108,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,05/06/2010,,"(34.2391, -118.5535)",34.2391,-118.5535
20491,0003005038-0001-6,FEEL GOOD SALSA LLC,,21151   HARVARD BLVD,TORRANCE,90501-2923,21151 HARVARD 90501-2923,POST OFFICE BOX #71,TORRANCE,90507-0071,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,09/01/2017,,"(33.8372, -118.3069)",33.8372,-118.3069
20668,0003400558-0001-0,EYASU NEGASSI,ENQU GROCERY STORE,123 S FIGUEROA STREET,LOS ANGELES,90012-2469,123 Figueroa 90012-2469,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",14,01/15/2024,,"(34.0576, -118.2532)",34.0576,-118.2532
21237,0003264665-0001-4,DNTCALLMECHEF LLC,CREATE THE FLAVOR,1915 E 120TH STREET,LOS ANGELES,90059-3007,1915 120TH 90059,1915 E 120TH STREET,LOS ANGELES,90059-3007,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,08/09/2021,,"(33.9237, -118.2385)",33.9237,-118.2385
23252,0003209521-0001-1,CRWW LIMITED LIABLITY COMPANY,CAFE ROSARITO,17808 CHATSWORTH STREET,GRANADA HILLS,91344-5611,17808 CHATSWORTH 91344-5611,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,08/18/2020,,"(34.2648, -118.522)",34.2648,-118.522
23324,0003325954-0001-8,FAHEM & MAHEER ENTERPRISES INC,7-ELEVEN STORE 36770B,8254 WHITE OAK AVENUE SUITE #5,NORTHRIDGE,91325-4367,8254 White Oak 91325-4367,POST OFFICE BOX #139044,DALLAS,75313-9044,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",12,07/28/2022,,"(34.2206, -118.5185)",34.2206,-118.5185
23400,0002696269-0001-1,ETHICALLY MINDED INC,,407 W 6TH STREET,SAN PEDRO,90731-2631,407 6TH 90731-2631,,,,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",15,01/24/2013,,"(33.7387, -118.2858)",33.7387,-118.2858
23464,0003070483-0001-2,"BUONA PASTA, INC.",BUONA PASTA,4073 W WASHINGTON BLVD,LOS ANGELES,90018-1061,4073 WASHINGTON 90018-1061,4073 W WASHINGTON BLVD,LOS ANGELES,90018-1061,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",10,01/15/2018,,"(34.0402, -118.3281)",34.0402,-118.3281
23722,0003346613-0001-4,"THE JEWEL DATE COMPANY, INC.",THE DATE GIRL,84675 60TH AVENUE,THERMAL,92274-8780,84675 60th 92274-8780,46 PINE GROVE STREET,WOODSTOCK,12498-1511,311900.0,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",0,12/06/2022,,"(33.611, -116.1925)",33.611,-116.1925
